trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.01, 'e': 0.4738479773082268}",25,8,-21.021091795243535,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.01, 'e': 0.47147873742168567}",20,0,6.359365702672797,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.01, 'e': 0.46912134373457726}",20,0,-70.42030462572993,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
152,False,"{'a': 0.01, 'e': 0.46677573701590436}",25,10,-7.971151211701546,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.46444185833082485}",20,13,13.837722555919228,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.46211964903917074}",30,4,-4.3756752656267786,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.4598090507939749}",25,18,-68.20857649374976,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
156,False,"{'a': 0.01, 'e': 0.457510005540005}",25,0,-0.4568148953371698,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.45522245551230495}",25,3,-1.9386821229033258,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.4529463432347434}",20,0,-49.55298707696235,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.01, 'e': 0.4506816115185697}",25,14,6.670325618640241,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.4484282034609769}",30,4,-28.3861797741424,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
161,False,"{'a': 0.01, 'e': 0.446186062443672}",25,0,-112.28846336356358,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
